Name,Artifact Type,Category,Description,Tags,Classifications,Stewards,Related Terms,Part Of Terms,Type Of Terms,Abbreviations,Data Classes,Synonyms,Secondary Categories
Customer Response to Latest Offer,glossary_term,Customer Vocabulary >> Customer Behavior,Identifies whether there was a response from the customer towards the latest offer made.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Account Life Cycle Status,glossary_term,Customer Vocabulary >> Customer Behavior,Additional classification of customer account status that determines the status of the account based on its life cycle.,,,,,Customer Vocabulary >> Customer 360 >> Customer Account,,,,,
Product,glossary_term,Customer Vocabulary >> Customer Behavior,"Product identifies goods and services that can be offered, sold, or purchased by the customers.",,,,,,,,,,
Customer Withdrawals Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts from all withdrawal transactions on the customer accounts in assessed period.,,,,,,,,,,
Number of Customer Communications,glossary_term,Customer Vocabulary >> Customer Behavior,"The number of all communications with customers, both customer and organization initiated, in the assessed period. This includes phone calls, letters, emails, texts, social media interactions, web and mobile chats.",,,,,,,,,,
Customer Waived Fees Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts of waived fees on customer accounts in assessed period.,,,,,,,,,,
Product Description,glossary_term,Customer Vocabulary >> Customer Behavior,Provides a textual explanation or free form comments about the product.,,,,,Customer Vocabulary >> Customer Behavior >> Product,,,,,
Customer Products,glossary_term,Customer Vocabulary >> Customer Behavior,Number of products the customer owns or has a subscription for.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Communication Status,glossary_term,Customer Vocabulary >> Customer Behavior,"The communication status distinguishes between communications according to their current state, for example: awaiting further information, closed, open.",,,,,Customer Vocabulary >> Customer Behavior >> Communication,,,,,
Customer Units Sold,glossary_term,Customer Vocabulary >> Customer Behavior,Number of all units sold in trade transactions executed by customers in assessed period.,,,,,,,,,,
Customer Units Bought,glossary_term,Customer Vocabulary >> Customer Behavior,Number of all units bought in trade transactions executed by customers in assessed period.,,,,,,,,,,
Zipcode,glossary_term,Customer Vocabulary >> Customer Behavior,"A zipcode, also known as a postal code, is a numerical code used by postal services to efficiently sort and deliver mail to specific geographic areas. In the United States, zipcodes are a five-digit code system, while some areas have extended zipcodes with nine digits for greater precision. Other countries have their own variations of postal codes, each designed to facilitate the accurate and timely delivery of mail and packages.",,Sensitive Personal Information,,,Customer Vocabulary >> Customer 360 >> Home Address,,ZIP,US Zip Code,Customer Vocabulary >> Customer 360 >> Postal Code,
Customer Phone Call,glossary_term,Customer Vocabulary >> Customer Behavior,A call between a customer and a contact center agent. This includes both contact center inbound and outbound phone calls.,,,,Customer Vocabulary >> Customer Behavior >> Customer Communication,,,,,,
Anti-money Laundering Monitoring Indicator,glossary_term,Customer Vocabulary >> Customer Behavior,"Indicator if the customer account is monitored for transactions being suspicious of criminal activities involving the movement of money through accounts, banks and countries carried out using the financial institution.",,,,,Customer Vocabulary >> Customer 360 >> Customer Account,,,,,
Customer Management Fees Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts of management related fees on customer accounts in assessed period.,,,,,,,,,,
Account Name,glossary_term,Customer Vocabulary >> Customer Behavior,A free-form text name of the account.,,Personally Identifiable Information,,,Customer Vocabulary >> Customer Behavior >> Credit Card Account,,,,,
,,,,,,,,Customer Vocabulary >> Customer 360 >> Customer Account,,,,,
,,,,,,,,Customer Vocabulary >> Customer Behavior >> Loan Account,,,,,
New Customer Agreements,glossary_term,Customer Vocabulary >> Customer Behavior,The number of new customer agreements that were created in a given period of time.,,,,,,,,,,
Account Balance,glossary_term,Customer Vocabulary >> Customer Behavior,"The total amount that is outstanding on the account, debit or credit.",,,,,Customer Vocabulary >> Customer Behavior >> Credit Card Account,,,,,
,,,,,,,,Customer Vocabulary >> Customer 360 >> Customer Account,,,,,
,,,,,,,,Customer Vocabulary >> Customer Behavior >> Loan Account,,,,,
Customer Behavior,glossary_term,Customer Vocabulary >> Customer Behavior,The manner in which a customer prefers to purchase products; buyer behavior or past history.,,,,,Customer Vocabulary >> Customer 360 >> Customer Profile,,,,,
,,,,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Sentiment,glossary_term,Customer Vocabulary >> Customer Behavior,The overall attitude of the customer to the goods or services provided by the organization.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Market Change Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts from all transactions related to market change on the customer accounts in assessed period.,,,,,,,,,,
Customer Account Risk Tolerance,glossary_term,Customer Vocabulary >> Customer Behavior,"Classifies the customer's tolerance to market risk in context of customer account. It determines the type of trading and investment. When trading or investing in financial markets, high risk strategies can provide the greatest return.",,,,,Customer Vocabulary >> Customer 360 >> Customer Account,,,,,
Customer Influencer Score,glossary_term,Customer Vocabulary >> Customer Behavior,A score that expresses the influence that the customer has on others. The score suggests how strongly the communication and behavior of the customer influences the behavior of other people.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Emails,glossary_term,Customer Vocabulary >> Customer Behavior,Number of all customer emails received in assessed period.,,,,,,,,,,
Census Birth Probability,glossary_term,Customer Vocabulary >> Customer Behavior,Probability of a birth based on census data analysis.,,Sensitive Personal Information,,,Customer Vocabulary >> Customer Behavior >> Census,,,,,
,,,,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Job Changes,glossary_term,Customer Vocabulary >> Customer Behavior,The number of actual or predicted job changes experienced by customers in the assessed period of time for all or selected group of customers.,,,,,,,,,,
Work Address,glossary_term,Customer Vocabulary >> Customer Behavior,The address of a person's work.,,Personally Identifiable Information,,Customer Vocabulary >> Customer 360 >> Postal Address,Customer Vocabulary >> Customer 360 >> Customer Profile,,,Address Line 2,,
,,,,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,Address  Line 3,,
,,,,,,,,,,,Address Line 1,,
Wallet Share,glossary_term,Customer Vocabulary >> Customer Behavior,Indicates available wealth of customer compared to his utilization of products and services of the organization.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Relocations,glossary_term,Customer Vocabulary >> Customer Behavior,The number of actual or predicted customer relocations in the assessed period of time for all or selected group of customers.,,,,,,,,,,
Event Type Code,glossary_term,Customer Vocabulary >> Customer Behavior,The abbreviation of the event type name or randomly generated short text used as unique identifier of the event type.,,,,,Customer Vocabulary >> Customer Behavior >> Event Type,,,,,
College Graduations,glossary_term,Customer Vocabulary >> Customer Behavior,The number of actual or predicted college graduations in households of customers in the assessed period of time for all or selected group of customers.,,,,,,,,,,
Event Type Name,glossary_term,Customer Vocabulary >> Customer Behavior,"The name of the event type that can also be used as an identifier, for example: birth of child, marriage, job change, funds transfer out, open savings account, large withdrawal, inbound call, email received, medical procedure, payroll change.",,,,,Customer Vocabulary >> Customer Behavior >> Event Type,,,,,
Event Type Category,glossary_term,Customer Vocabulary >> Customer Behavior,"Classification of the event type into various group, for example: life, medical event or procedure, transfer, transaction, account change, agreement change, transaction, interaction, communication, birthday, anniversary.",,,,,Customer Vocabulary >> Customer Behavior >> Event Type,,,,,
Years With Current Employer,glossary_term,Customer Vocabulary >> Customer Behavior,Indicates the number of years of employment with current employer.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Census Age Range,glossary_term,Customer Vocabulary >> Customer Behavior,Age range of customer based on census data.,,,,,Customer Vocabulary >> Customer 360 >> Customer Profile,,,,,
,,,,,,,,Customer Vocabulary >> Customer Behavior >> Census,,,,,
,,,,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Event Type,glossary_term,Customer Vocabulary >> Customer Behavior,"Classification of the of the customer event, for example: home purchase, divorce, pregnancy, close savings account.",,,,Customer Vocabulary >> Customer Behavior >> Event Type,Customer Vocabulary >> Customer Behavior >> Customer Event,,,,,
Transaction,glossary_term,Customer Vocabulary >> Customer Behavior,Identifies an activity that represents the recording of events on customer account.,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,,
,,,,,,,Customer Vocabulary >> Customer 360 >> Customer Account,,,,,,
Transaction Date,glossary_term,Customer Vocabulary >> Customer Behavior,The date on which the transaction actually occurred.,,,,,Customer Vocabulary >> Customer Behavior >> Transaction,,,Date,,
Customer Event Date,glossary_term,Customer Vocabulary >> Customer Behavior,The date on which the event occurred. Can include time at which the event occurred for certain types of events.,,,,,Customer Vocabulary >> Customer Behavior >> Customer Event,,,,,
Marriages,glossary_term,Customer Vocabulary >> Customer Behavior,The number of actual or predicted customer marriages in the assessed period of time for all or selected group of customers.,,,,,,,,,,
Census Marriage Probability,glossary_term,Customer Vocabulary >> Customer Behavior,Probability of a marriage based on census data analysis.,,Sensitive Personal Information,,,Customer Vocabulary >> Customer Behavior >> Census,,,,,
,,,,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Proves Event Type,glossary_term,Customer Vocabulary >> Customer Behavior,"Another type of event that this event type proves, for example closing of securities account proves the attrition.",,,,Customer Vocabulary >> Customer Behavior >> Event Type,Customer Vocabulary >> Customer Behavior >> Event Type,,,,,
Census,glossary_term,Customer Vocabulary >> Customer Behavior,Information related to demographic data over a period of time.,,,,,,,,,,
Account Status Date,glossary_term,Customer Vocabulary >> Customer Behavior,"Identifies a date that represents a calendar date associated with a change in account status; for example, date the account achieved a status of In Default.",,,,,Customer Vocabulary >> Customer 360 >> Customer Account,,,,,
Census Migration Probability,glossary_term,Customer Vocabulary >> Customer Behavior,Probability of a customer migrating based on census data analysis.,,Sensitive Personal Information,,,Customer Vocabulary >> Customer Behavior >> Census,,,,,
,,,,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
New Children,glossary_term,Customer Vocabulary >> Customer Behavior,The number of actual or predicted new children in the families of customers in the assessed period of time for all or selected group of customers.,,,,,,,,,,
Bereavements,glossary_term,Customer Vocabulary >> Customer Behavior,The number of actual or predicted bereavements affecting customers in the assessed period of time for all or selected group of customers.,,,,,,,,,,
Job Losses,glossary_term,Customer Vocabulary >> Customer Behavior,The number of actual or predicted job losses experienced by customers in the assessed period of time for all or selected group of customers.,,,,,,,,,,
Census Divorce Probability,glossary_term,Customer Vocabulary >> Customer Behavior,Probability of a divorce based on census data analysis.,,Sensitive Personal Information,,,Customer Vocabulary >> Customer Behavior >> Census,,,,,
,,,,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Event Type,glossary_term,Customer Vocabulary >> Customer Behavior,"Describes various related event types such as transfer of funds, account transaction, agreement changes, customer interactions, social media posts, medical procedures and customer important dates such as birthday.",,,,Customer Vocabulary >> Customer Behavior >> Customer Event Type,,,,,,
,,,,,,,Customer Vocabulary >> Customer Behavior >> Proves Event Type,,,,,,
Transaction Device Identifier,glossary_term,Customer Vocabulary >> Customer Behavior,"The identifier of the device used to initiate the transaction. For example, the ATM identifier, the Teller Position Identifier etc.",,,,,Customer Vocabulary >> Customer Behavior >> Transaction,,,Identifier,,
Transaction Currency,glossary_term,Customer Vocabulary >> Customer Behavior,Identifies a currency recorded on the transaction.,,,,,Customer Vocabulary >> Customer Behavior >> Transaction,,,Currency,,
Driver License Number,glossary_term,Customer Vocabulary >> Customer 360,The unique number assigned to an individual's driver license.,,Personally Identifiable Information,,,Customer Vocabulary >> Customer 360 >> Customer,,,Florida State Driver's License,,
,,,,,,,,,,,Connecticut State Driver's License,,
,,,,,,,,,,,Wyoming State Driver's License,,
,,,,,,,,,,,West Virginia State Driver's License,,
,,,,,,,,,,,Wisconsin State Driver's License,,
,,,,,,,,,,,Georgia State Driver's License,,
,,,,,,,,,,,Oklahoma State Driver's License,,
,,,,,,,,,,,Vermont State Driver's License,,
,,,,,,,,,,,Illinois State Driver's License,,
,,,,,,,,,,,Texas State Driver's License,,
,,,,,,,,,,,Michigan State Driver's License,,
,,,,,,,,,,,Virginia State Driver's License,,
,,,,,,,,,,,Massachusetts State Driver's License,,
,,,,,,,,,,,Alberta Province Driver's License,,
,,,,,,,,,,,Montana State Driver's License,,
,,,,,,,,,,,California State Driver's License,,
,,,,,,,,,,,Nova Scotia Province Driver's License,,
,,,,,,,,,,,Prince Edward Island Province Driver's License,,
,,,,,,,,,,,Pennsylvania State Driver's License,,
,,,,,,,,,,,Colorado State Driver's License,,
,,,,,,,,,,,Alaska State Driver's License,,
,,,,,,,,,,,Louisiana State Driver's License,,
,,,,,,,,,,,North Dakota State Driver's License,,
,,,,,,,,,,,British Columbia Province Driver's License,,
,,,,,,,,,,,Idaho State Driver's License,,
,,,,,,,,,,,Ontario Province Driver's License,,
,,,,,,,,,,,Kansas State Driver's License,,
,,,,,,,,,,,New Brunswick Province Driver's License,,
,,,,,,,,,,,Maryland State Driver's License,,
,,,,,,,,,,,Iowa State Driver's License,,
,,,,,,,,,,,New Hampshire State Driver's License,,
,,,,,,,,,,,Nevada State Driver's License,,
,,,,,,,,,,,Arkansas State Driver's License,,
,,,,,,,,,,,Driver's License,,
,,,,,,,,,,,Arizona State Driver's License,,
,,,,,,,,,,,South Dakota State Driver's License,,
,,,,,,,,,,,Kentucky State Driver's License,,
,,,,,,,,,,,Manitoba Province Driver's License,,
,,,,,,,,,,,New Jersey State Driver's License,,
,,,,,,,,,,,Quebec Province Driver's License,,
,,,,,,,,,,,Utah State Driver's License,,
,,,,,,,,,,,Alabama State Driver's License,,
,,,,,,,,,,,New York State Driver's License,,
,,,,,,,,,,,Indiana State Driver's License,,
,,,,,,,,,,,Hawaii State Driver's License,,
,,,,,,,,,,,Oregon State Driver's License,,
,,,,,,,,,,,North Carolina State Driver's License,,
,,,,,,,,,,,Nebraska State Driver's License,,
,,,,,,,,,,,Rhode Island State Driver's License,,
,,,,,,,,,,,Ohio State Driver's License,,
,,,,,,,,,,,Missouri State Driver's License,,
,,,,,,,,,,,Newfoundland and Labrador Province Driver's License,,
,,,,,,,,,,,South Carolina State Driver's License,,
,,,,,,,,,,,Minnesota State Driver's License,,
,,,,,,,,,,,Washington DC Driver's License,,
,,,,,,,,,,,Washington State Driver's License,,
,,,,,,,,,,,Tennessee State Driver's License,,
,,,,,,,,,,,Mississippi State Driver's License,,
,,,,,,,,,,,Saskatchewan Province Driver's License,,
,,,,,,,,,,,Delaware State Driver's License,,
,,,,,,,,,,,New Mexico State Driver's License,,
,,,,,,,,,,,Maine State Driver's License,,
Home purchases,glossary_term,Customer Vocabulary >> Customer Behavior,The number of actual or predicted home purchase done by customers in the assessed period of time for all or selected group of customers.,,,,,,,,,,
County,glossary_term,Customer Vocabulary >> Customer Behavior,The name of the county.,,,,,Customer Vocabulary >> Customer 360 >> Postal Address,,,,,
Customer Satisfaction With Communication Rating,glossary_term,Customer Vocabulary >> Customer Behavior,The customer satisfaction rating score specified by the customer about the communication contact.,,,,,Customer Vocabulary >> Customer Behavior >> Customer Communication,,,,,
Years At Current Address,glossary_term,Customer Vocabulary >> Customer Behavior,Indicates the length of residence at current address.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Engagements,glossary_term,Customer Vocabulary >> Customer Behavior,The number of actual or predicted engagements in life of customers in the assessed period of time for all or selected group of customers.,,,,,,,,,,
Customer Event,glossary_term,Customer Vocabulary >> Customer Behavior,"Customer related events recorded by the organization, that include, life related events, account status updates and account or agreement related changes excluding events like account transactions or records of communication.",,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,,
Advertising Indicator,glossary_term,Customer Vocabulary >> Customer Behavior,"A binary indicator used to record the customer's preference regarding receiving advertising material, such as email marketing, SMS alerts, and other promotional content. When set to ""True,"" it signifies that the customer has opted-in to receive such communications, while ""False"" indicates the customer has opted-out and does not wish to receive such materials.",,,,,Customer Vocabulary >> Customer Behavior >> Customer Behavior,,,Boolean,,
,,,,,,,,Customer Vocabulary >> Customer Behavior >> Customer Communication,,,,,
Customer Account Waived Fees Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts of waived fees on the customer account in assessed period.,,,,,,,,,,
Customer Account Sell Trades Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts of all sell trades on the customer account in assessed period.,,,,,,,,,,
Customer Account Fees In Arrears Amount,glossary_term,Customer Vocabulary >> Customer Behavior,"The sum of amount of all fees on the customer account which is owed to the financial institution on payments due on the account, but not received as of the payment due date.",,,,,,,,,,
Customer Account Market Change Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts from all transactions related to market change on the customer account in assessed period.,,,,,,,,,,
Properties Owned,glossary_term,Customer Vocabulary >> Customer Behavior,The number of properties owned by the customer.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Account Transaction Fees Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts of transaction related fees on the customer account in assessed period.,,,,,,,,,,
Customer Account Fees Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts of all fees on the customer account in assessed period.,,,,,,,,,,
Returned Customers,glossary_term,Customer Vocabulary >> Customer Behavior,The number of ex-customers that became active again by signing a new customer agreement in a given period of time.,,,,,,,,,,
Customer Account Buy Trades Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts of all buy trades on the customer account in assessed period.,,,,,,,,,,
Customer Account Deposits,glossary_term,Customer Vocabulary >> Customer Behavior,Number of all deposit transactions on the customer account in assessed period.,,,,,,,,,,
Customer Account Interest Fees Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts of interest related fees on the customer account in assessed period.,,,,,,,,,,
Customer Account Fees,glossary_term,Customer Vocabulary >> Customer Behavior,Number of fee transactions appearing on the customer account in assessed period.,,,,,,,,,,
Secure Growth As Investment Objective Accounts,glossary_term,Customer Vocabulary >> Customer Behavior,Number of customer accounts that have 'secure growth' set as their investment objective.,,,,,,,,,,
Customer Attrition Rate,glossary_term,Customer Vocabulary >> Customer Behavior,The ratio of the customers lost in a given period to the number of customers that were active at the start of that period.,,,,,,,,,,
Customer Account Deposits Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts from all deposit transactions on the customer account in assessed period.,,,,,,,,,,
Tax Advantage Indicator,glossary_term,Customer Vocabulary >> Customer Behavior,"Indicates whether the account provides a tax benefit to customer, or not.",,,,,Customer Vocabulary >> Customer 360 >> Customer Account,,,,,
Customer Account Units Bought,glossary_term,Customer Vocabulary >> Customer Behavior,Number of all units bought in trade transactions on the customer account in assessed period.,,,,,,,,,,
Customer Account Withdrawals,glossary_term,Customer Vocabulary >> Customer Behavior,Number of all withdrawal transactions on the customer account in assessed period.,,,,,,,,,,
Transaction Count,glossary_term,Customer Vocabulary >> Customer Behavior,"The number of transactions performed by, or on behalf of, the organization.",,,,,,,,,,
Customer Tenure,glossary_term,Customer Vocabulary >> Customer Behavior,The duration in years or months since the start date of the first agreement the customer had with the organization.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Account Withdrawals Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts from all withdrawal transactions on the customer account in assessed period.,,,,,,,,,,
Customer Account Interest Earned Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The amount of all interests earned on the customer account in assessed period.,,,,,,,,,,
Customer Account Sell Trades,glossary_term,Customer Vocabulary >> Customer Behavior,Number of sell trade transactions on the customer account in assessed period.,,,,,,,,,,
Customer Account Buy Trades,glossary_term,Customer Vocabulary >> Customer Behavior,Number of buy trade transactions on the customer account in assessed period.,,,,,,,,,,
Customer Account Commision Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of commission amounts from all trades on the customer account in assessed period.,,,,,,,,,,
Trading Volume,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of all amounts of trades carried out by customer in assessed period.,,,,,,,,,,
Top Spending Category,glossary_term,Customer Vocabulary >> Customer Behavior,"The personal expenses category with highest customer spending, for example: food, health, housing, insurance, personal, recreation, savings, transportation, utilities.",,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Account Units Sold,glossary_term,Customer Vocabulary >> Customer Behavior,Number of all units sold in trade transactions on the customer account in assessed period.,,,,,,,,,,
Security As Investment Objective Accounts,glossary_term,Customer Vocabulary >> Customer Behavior,Number of customer accounts that have 'security' set as their investment objective.,,,,,,,,,,
Very Low Risk Tolerance Accounts,glossary_term,Customer Vocabulary >> Customer Behavior,Number of customer accounts with very low tolerance to market risk.,,,,,,,,,,